spotify_artist_name,spotify_artist_id,spotify_artist_followers,spotify_artist_genres
Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,4017056,surf rock
Outkast,1G9G7WwrXka3Z1r7aIDjI7,3244745,"southern hip hop,hip hop"
Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,10716042,"gangster rap,west coast hip hop,old school hip hop,g-funk,hip hop"
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,7043817,soft rock
John Williams,3dRfiJ2650SZu6GbydcHNb,1576193,soundtrack
Soda Stereo,7An4yvF7hDYDolN4m5zKBp,9883236,"rock en español,latin rock,argentine rock,latin alternative"
Nas,20qISvAhX20dpIbOOzGK3q,4213294,"east coast hip hop,old school hip hop,hip hop"
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,10891598,latin
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,6483196,
Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,8561253,"cumbia,cumbia sonidera,salsa"
Zedd,2qxJFvFYMEDqd7ui6kSAcq,6092839,edm
Nat King Cole,7v4imS0moSyGdXyLgVTIV7,2492741,"christmas,adult standards,vocal jazz"
Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,4524616,"trance,progressive trance,progressive house,electronica,edm"
Juicy J,5gCRApTajqwbnHHPbr2Fpi,3282038,crunk
Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,3124994,"latin pop,latin rock"
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,7137133,
Wham!,5lpH0xAS4fVfLkACg9DAuM,3066045,christmas
José José,4mN0qcMxWX8oToqfDPM5yV,10254751,"bolero,bacardi"
Los Tigres Del Norte,3hYtANQYrE6pd2PbtEyTIy,7245022,"norteño,corrido,ranchera,banda,grupera,música mexicana,cumbia norteña"
Bryan Adams,3Z02hBLubJxuFJfhacLSDc,4553575,
Dean Martin,49e4v89VmlDcFCMyDv9wQ9,1911404,"christmas,adult standards,big band,swing music"
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,4522528,
Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,7929731,"latin pop,latin"
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,13615064,
Sido,4Yttlv9ndGjCDCVLqM7ACq,2605164,"german hip hop,german pop"
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,5815076,"classical,opera,requiem,classical piano,chamber music"
Juan Gabriel,2MRBDr0crHWE5JwPceFncq,10170235,"mariachi,ranchera,bolero,música mexicana"
Nelly,2gBjLmx6zQnFGQJCAQpRgw,3557892,
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,3521132,"classical piano,classical"
Marco Antonio Solís,3tJnB0s6c3oXPq1SCCavnd,8361441,"grupera,mariachi,ranchera,latin pop"
Céline Dion,4S9EykWXhStSc15wEx8QFK,10003455,variété française
Alesso,4AVFqumd2ogHFlRbKIjp1t,4023339,edm
Joan Sebastian,7FsRH5bw8iWpSbMX1G7xf1,12440994,"banda,mariachi,ranchera,grupera,norteño,música mexicana"
Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,590386,christmas
S. P. Balasubrahmanyam,2ae6PxICSOZHvjqiCcgon8,20170883,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood"
