genre,tracks,views_sum,views_mean,streams_sum,streams_mean,freq_z,views_z,score
comedy,10,176709784.0,17670978.4,858152107.0,85815210.7,-0.6959823632690603,-0.43529126230025506,-0.5917059228815382
cool jazz,35,95914745.0,2740421.285714286,1440581004.0,42370029.52941176,-0.4380551525582453,-0.4417134489699667,-0.43951847112293385
corrido,428,21911314891.0,51435011.481220655,25972798604.0,61401415.139479905,3.616560599815766,1.2923357419966612,2.686870656688124
corridos bélicos,227,9710399990.0,42966371.63716814,12712388609.0,56001711.933920704,1.5428258257008136,0.32251687681251734,1.0547022461454951
corridos tumbados,179,5310781893.0,29835853.331460673,8791365850.0,49113775.698324025,1.047605581136049,-0.027197276978232238,0.6176844378903364
country,561,27462228235.0,49750413.4692029,68503741666.0,122766562.12544803,4.988733360797301,1.7335633485897022,3.6866653559142613
country hip hop,30,1954882575.0,65162752.5,1527864606.0,50928820.2,-0.48964059470040827,-0.29394895049316266,-0.41136393701751
country rock,68,2246755628.0,33040523.94117647,8168987932.0,120132175.47058824,-0.09759123441996953,-0.27074872367942665,-0.1668542301237524
crunk,65,2095900415.0,32244621.769230768,2359314424.0,36864287.875,-0.12854249970526732,-0.28273981063199455,-0.1902214240759582
cuarteto,86,3514080589.0,41834292.72619048,2904998736.0,33779055.069767445,0.08811635729181724,-0.17001237190011684,-0.015135134384956402
cumbia,202,13898586914.0,69492934.57,8252234180.0,41677950.4040404,1.2848986149899988,0.6554249187725381,1.0331091365030145
cumbia norteña,166,4399993761.0,26505986.512048192,7432426436.0,46744820.35220126,0.9134834315664252,-0.09959344724633483,0.5082526800413212
cumbia sonidera,28,6518071954.0,232788284.07142857,2038437026.0,72801322.35714285,-0.5102747715572735,0.06876705736944454,-0.27865803998658634
dance,10,2811516040.0,281151604.0,4553057455.0,455305745.5,-0.6959823632690603,-0.22585739329059837,-0.5079323752776755
dance pop,18,1020227614.0,56679311.88888889,2121429121.0,117857173.3888889,-0.6134456558415995,-0.3682422326749322,-0.5153642865749326
dancehall,74,6491848223.0,87727678.6891892,5646740309.0,76307301.47297297,-0.03568870384937394,0.06668260147038489,0.005259818278529595
dark ambient,10,34623310.0,3462331.0,255199435.0,25519943.5,-0.6959823632690603,-0.44658534508755504,-0.5962235559964582
dark r&b,10,497452860.0,49745286.0,1874594480.0,187459448.0,-0.6959823632690603,-0.40979623274665194,-0.5815079110600969
darkwave,40,2023539304.0,51885623.179487176,1851701597.0,84168254.4090909,-0.3864697104160823,-0.2884916063885351,-0.3472784688050634
death metal,40,346005249.0,8650131.225,1421489019.0,35537225.475,-0.3864697104160823,-0.42183440786930865,-0.40061558939737285
deathrock,10,11276479.0,1127647.9,115151275.0,11515127.5,-0.6959823632690603,-0.4484411237180748,-0.5969658674486661
dembow,36,6865187711.0,190699658.6388889,3699188965.0,102755249.02777778,-0.4277380641298127,0.09635838246865358,-0.21809948549042618
dembow belico,59,1089273528.0,18780578.068965517,2428636417.0,41163329.10169491,-0.19044503027586293,-0.36275395327093496,-0.25936859947389174
desi,433,59456449976.0,140892061.55450237,16473170341.0,38578853.257611245,3.668146041957929,4.276700488146616,3.9115678204334037
desi hip hop,78,8728793810.0,111907612.94871795,3479728372.0,48329560.722222224,0.005579649864356456,0.24449156483633783,0.10114441585314901
desi pop,72,18257815969.0,257152337.5915493,3573830103.0,49636529.208333336,-0.056322880706239135,1.0019286530827696,0.3669777328093644
devotional,80,10953968673.0,158753169.17391303,1611394426.0,20142430.325,0.026213826721221654,0.42136490408846794,0.18427425766812017
disco,99,10443796311.0,117346025.96629213,11019072736.0,118484653.07526882,0.22223850686144103,0.3808126352481532,0.2856681582161259
disco house,27,945444085.0,35016447.59259259,1450494415.0,58019776.6,-0.5205918599857061,-0.3741865801126233,-0.462029748036473
djent,10,89758418.0,8975841.8,286906997.0,28690699.7,-0.6959823632690603,-0.44220279932715617,-0.5944705376922986
doom metal,10,302115372.0,30211537.2,121524221.0,60762110.5,-0.6959823632690603,-0.4253230995822328,-0.5877186577943293
downtempo,40,827265558.0,20681638.95,2236769602.0,58862357.94736842,-0.3864697104160823,-0.3835802826238079,-0.38531393929917257
dream pop,40,242135553.0,6053388.825,3865826581.0,96645664.525,-0.3864697104160823,-0.4300907387690091,-0.40391812175725306
drift phonk,40,399126570.0,9978164.25,1556226191.0,38905654.775,-0.3864697104160823,-0.41761193277892994,-0.3989265993612213
drill,117,5640685765.0,48210989.44444445,14930063764.0,128707446.2413793,0.40794609857322783,-0.0009740796722112092,0.2443780272750522
drum and bass,20,87369197.0,4368459.85,295307065.0,15542477.105263159,-0.5928114789847343,-0.4423927122654641,-0.5326439722970262
dubstep,21,2581717119.0,122938910.42857143,2515025446.0,125751272.3,-0.5824943905563017,-0.24412350944607572,-0.4471460381122113
duranguense,40,674219721.0,16855493.025,1398586916.0,34964672.9,-0.3864697104160823,-0.3957454965577509,-0.3901800248727497
east coast hip hop,252,13000218106.0,51588167.08730159,24086265414.0,97122037.95967741,1.8007530364116286,0.5840159281385665,1.3140581931024038
edm,173,27782642337.0,168379650.52727273,42259566131.0,251545036.4940476,0.9857030505654534,1.7590322288590963,1.2950347218829106
electro,33,4191311681.0,127009444.87878788,6779423962.0,205437089.75757575,-0.4586893294151105,-0.1161810408532109,-0.3216860139903506
electro corridos,96,2202060767.0,23179587.021052632,3889417227.0,40514762.78125,0.19128724157614324,-0.274301401468453,0.005051784358304737
electro house,25,2295407142.0,91816285.68,3092550062.0,140570457.36363637,-0.5412260368425713,-0.26688154187545365,-0.4314882388557243
electroclash,10,76055171.0,7605517.1,582030046.0,58203004.6,-0.6959823632690603,-0.4432920346478442,-0.5949062318205739
electrocumbia,19,1339830588.0,70517399.36842105,1562432636.0,82233296.63157895,-0.6031285674131669,-0.34283782685215636,-0.4990122711887627
electronic,39,4709456319.0,120755290.23076923,7486078166.0,191950722.2051282,-0.3967867988445149,-0.07499507661169137,-0.26807010995138547
electronica,44,2415592427.0,54899827.88636363,5136906622.0,116747877.77272727,-0.3452013567023519,-0.25732832741110395,-0.3100521449858527
emo,139,11487305759.0,82642487.47482014,27156548478.0,196786583.17391303,0.634922043998745,0.46375847634940914,0.5664566169390106
emo rap,111,7508254094.0,67641928.77477477,29460238525.0,265407554.2792793,0.34604356800263225,0.14747405001158648,0.26661576080621396
eurodance,80,6906154560.0,86326932.0,5551130610.0,72092605.32467532,0.026213826721221654,0.09961473031877209,0.05557418816024183
europop,58,5496724857.0,94771118.22413793,3156998159.0,56374967.125,-0.20076211870429553,-0.012417156323454456,-0.1254241337519591
experimental hip hop,33,143654801.0,4353175.787878788,1460834629.0,44267716.03030303,-0.4586893294151105,-0.4379187165823199,-0.45038108428199425
